vacancy_name,vacancy_salary,min_salary,max_salary,currency_salary,vacancy_link,vacancy_source
Аналитик данных / Data Analyst,,,,,https://volzhskiy.hh.ru/vacancy/69166398?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик данных / Data Analyst,,,,,https://volzhskiy.hh.ru/vacancy/76869170?from=vacancy_search_list&query=Data+Analyst,hh.ru
Продуктовый аналитик-исследователь,от 150 000 руб.,150000.0,,руб.,https://volzhskiy.hh.ru/vacancy/73265382?from=vacancy_search_list&query=Data+Analyst,hh.ru
Junior Data Analyst,,,,,https://volzhskiy.hh.ru/vacancy/77191771?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,2 000 – 5 000 USD,2000.0,5000.0,USD,https://volzhskiy.hh.ru/vacancy/76354970?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Remote),3 000 – 4 000 USD,3000.0,4000.0,USD,https://volzhskiy.hh.ru/vacancy/74736549?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Remote),3 000 – 4 000 USD,3000.0,4000.0,USD,https://volzhskiy.hh.ru/vacancy/74736548?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Remote),3 000 – 4 000 USD,3000.0,4000.0,USD,https://volzhskiy.hh.ru/vacancy/74736547?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (middle/senior),2 500 – 3 500 USD,2500.0,3500.0,USD,https://volzhskiy.hh.ru/vacancy/76866293?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data analyst / Аналитик данных,от 90 000 руб.,90000.0,,руб.,https://volzhskiy.hh.ru/vacancy/76690668?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst / Аналитик Bl,до 140 000 руб.,,140000.0,руб.,https://volzhskiy.hh.ru/vacancy/76348422?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,до 150 000 руб.,,150000.0,руб.,https://volzhskiy.hh.ru/vacancy/77144005?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data - analyst / Аналитик данных,270 000 – 350 000 KZT,270000.0,350000.0,KZT,https://volzhskiy.hh.ru/vacancy/77187510?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (middle/senior),2 500 – 3 500 USD,2500.0,3500.0,USD,https://volzhskiy.hh.ru/vacancy/76866211?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,,,,,https://volzhskiy.hh.ru/vacancy/76141567?from=vacancy_search_list&query=Data+Analyst,hh.ru
Бизнес-аналитик (стажёр),от 25 000 руб.,25000.0,,руб.,https://volzhskiy.hh.ru/vacancy/77097174?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data analyst / Аналитик данных,,,,,https://volzhskiy.hh.ru/vacancy/73591237?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик БД (Junior data analytic),,,,,https://volzhskiy.hh.ru/vacancy/76855773?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data analyst,,,,,https://volzhskiy.hh.ru/vacancy/77134106?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist,160 000 – 200 000 руб.,160000.0,200000.0,руб.,https://volzhskiy.hh.ru/vacancy/76925483?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Science/Data Analyst,,,,,https://spb.hh.ru/vacancy/77148399?from=vacancy_search_list&query=Data+Analyst,hh.ru
Специалист по обработке данных по количественным исследованиям / data process / аналитик / research,,,,,https://spb.hh.ru/vacancy/76349658?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data-аналитик,,,,,https://spb.hh.ru/vacancy/76933775?from=vacancy_search_list&query=Data+Analyst,hh.ru
Organization Specialist (Data Analyst),,,,,https://spb.hh.ru/vacancy/77010786?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик Power BI (iGaming/Betting),,,,,https://spb.hh.ru/vacancy/77092567?from=vacancy_search_list&query=Data+Analyst,hh.ru
Дата-аналитик,,,,,https://spb.hh.ru/vacancy/76971263?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Product Data Analyst в Поиск и рекомендации (работа в РФ),,,,,https://spb.hh.ru/vacancy/76333960?from=vacancy_search_list&query=Data+Analyst,hh.ru
Junior Data Analyst,,,,,https://spb.hh.ru/vacancy/76902009?from=vacancy_search_list&query=Data+Analyst,hh.ru
Operations Analyst,,,,,https://spb.hh.ru/vacancy/77139274?from=vacancy_search_list&query=Data+Analyst,hh.ru
